時間戳記,標題內容(如：商品名稱或網站名稱),網站網址,說明此網站或商品的特徵,上傳你的畫面
2018/6/2 下午 3:47:03,任天堂SWITCH,http://switch.salesii.com/,商品不實，寄來的是垃圾掌機跟超大行動電源,https://drive.google.com/open?id=1epNVbK-caF3q51PF1G7Nq4BdPDP69TIO
2018/6/3 下午 1:21:28,雷明太陽鏡,http://www.rbrbtw.com,盜了我的IG 在我的帳號發這圖片,https://drive.google.com/open?id=1c17Tn_Izv-0ApPbXnkCJSbJ7pezt8BN2
2018/6/3 下午 1:21:55,Doctoe Strange-時間寶石阿戈摩托之眼,http://www.redommm.com/TFree-Agamotto,說明商品0元 運費卻要380 訂單下完無法取消,https://drive.google.com/open?id=1fN28MAuJ8_YJqFZLaEw_9DeAxiSuisu0
2018/6/3 下午 1:22:18,日本華歌爾無鋼圈蠶絲文胸套裝,http://51yhsnag.top/ingald,華歌爾找不到同款，倒是上淘寶找到了！,https://drive.google.com/open?id=12SHyF4gx4h9cragllxBhzQJHTsZK2cWD
2018/6/3 下午 1:22:47,Rayban官方,http://www.rbutw.com/,Rayban官方，一折還免運，之後我買了，也看到新聞說是詐騙，我傻眼了，要求取消訂單，也未被受理,https://drive.google.com/open?id=1NOLZ8mx9e8HsRdWBN9nnyTUQjkdBR4We
2018/6/3 下午 1:23:21,YSL MONOGRAM系列,http://monogram.storeqq.com/,"說會附上購買證明、發票、正品保證書等資料,收到東西後,也可拿著憑證可以換貨,實際都沒有附上任何資料",https://drive.google.com/open?id=1gsytgGCGur5z1-sC4RbClYU3FghDBqtV
2018/6/3 下午 1:23:48,Buy to buy,https://www.facebook.com/Buy-to-buy-287051405156718/,沒有聯絡方式 沒有商品說明 部分檢體字,https://drive.google.com/open?id=1EBWEb_U7z5oa5SlwYfJ8yyIQdayz4d36
2018/6/3 下午 1:24:14,雷朋相關商品,http://www.rbtww.com/products_new.html,一頁網頁,https://drive.google.com/open?id=1m53XQUdmGlEX91ynkKFTTLi9iXijoK5Q
2018/6/3 下午 1:24:46,Ray-Ban雷朋 1折,http://www.rbtws.com,以假亂真的雷朋網站，以眼鏡原價一折的價錢販售，網站做得跟官網相差無幾，讓消費者受騙上當。,https://drive.google.com/open?id=1dEYtFq0wW7fi-FqnOaa5lgXrhhwir5YC
2018/6/3 下午 1:25:11,均均服飾,https://www.facebook.com/JunJunClothing/,用公益活動手段買假貨,https://drive.google.com/open?id=1S7FbwtMSnXrP-QD2-n6DRgN9G2JeiqhU
2018/6/3 下午 1:25:35,雷朋,http://www.rbtww.com/specials.html,無法刷退,https://drive.google.com/open?id=1VwjCVPHSzC0iuhNq6LUr5A-p0s2ydJKf
